
26,MERRION SQUARE WEST,Merrion Square West,53.339764,-6.251988,OPEN,13,7,2018-03-12 19:47:49,
65,CONVENTION CENTRE,Convention Centre,53.34744,-6.238523,OPEN,9,31,2018-03-12 19:51:29,
15,HARDWICKE STREET,Hardwicke Street,53.355473,-6.264423,OPEN,9,7,2018-03-12 19:53:11,
86,PARKGATE STREET,Parkgate Street,53.347972,-6.291804,OPEN,38,0,2018-03-12 19:52:08,
35,SMITHFIELD,Smithfield,53.347692,-6.278214,OPEN,8,22,2018-03-12 19:52:56,
10,DAME STREET,Dame Street,53.344007,-6.266802,OPEN,16,0,2018-03-12 19:43:37,
100,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),53.347106,-6.292041,OPEN,11,14,2018-03-12 19:49:55,
24,CATHAL BRUGHA STREET,Cathal Brugha Street,53.352149,-6.260533,OPEN,3,17,2018-03-12 19:53:17,
64,SANDWITH STREET,Sandwith Street,53.345203,-6.247163,CLOSED,0,0,2018-03-12 19:53:06,
85,ROTHE ABBEY,Rothe Abbey,53.338776,-6.30395,OPEN,20,15,2018-03-12 19:44:18,
33,PRINCES STREET / O'CONNELL STREET,Princes Street / O'Connell Street,53.349013,-6.260311,OPEN,8,15,2018-03-12 19:52:03,
44,UPPER SHERRARD STREET,Upper Sherrard Street,53.358437,-6.260641,OPEN,18,12,2018-03-12 19:53:18,
89,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,53.335211,-6.2509,CLOSED,0,0,2018-03-12 19:47:17,
57,GRATTAN STREET,Grattan Street,53.339629,-6.243778,OPEN,1,22,2018-03-12 19:52:55,
80,ST JAMES HOSPITAL (LUAS),St James Hospital (Luas),53.341359,-6.292951,OPEN,23,17,2018-03-12 19:52:47,
41,HARCOURT TERRACE,Harcourt Terrace,53.332763,-6.257942,OPEN,2,18,2018-03-12 19:43:58,
3,BOLTON STREET,Bolton Street,53.351182,-6.269859,OPEN,3,17,2018-03-12 19:51:15,
46,STRAND STREET GREAT,Strand Street Great,53.347082,-6.264192,OPEN,8,27,2018-03-12 19:45:36,
40,JERVIS STREET,Jervis Street,53.3483,-6.266651,OPEN,2,19,2018-03-12 19:53:28,
29,ORMOND QUAY UPPER,Ormond Quay Upper,53.346057,-6.268001,OPEN,15,14,2018-03-12 19:47:40,
70,BARROW STREET,Barrow Street,53.341655,-6.236198,OPEN,17,23,2018-03-12 19:51:02,
28,MOUNTJOY SQUARE WEST,Mountjoy Square West,53.356299,-6.258586,OPEN,4,26,2018-03-12 19:46:23,
39,WILTON TERRACE,Wilton Terrace,53.332383,-6.252717,OPEN,7,13,2018-03-12 19:53:31,
83,EMMET ROAD,Emmet Road,53.340714,-6.308191,OPEN,29,11,2018-03-12 19:46:11,
92,HEUSTON BRIDGE (NORTH),Heuston Bridge (North),53.347802,-6.292432,OPEN,31,9,2018-03-12 19:50:49,
21,LEINSTER STREET SOUTH,Leinster Street South,53.34218,-6.254485,OPEN,17,13,2018-03-12 19:46:23,
88,BLACKHALL PLACE,Blackhall Place,53.3488,-6.281637,OPEN,13,17,2018-03-12 19:53:27,
